"OrderID","CustomerID","FirstName","LastName","ProductID","UnitPrice","OrderAmount","OrderDate","ShipDate"
143440,2,Ken,Abel,819,149.03,149.03,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143441,2,Ken,Abel,712,5.19,31.12,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143442,2,Ken,Abel,715,28.84,57.68,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143443,2,Ken,Abel,759,469.79,469.79,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143444,2,Ken,Abel,725,202.33,404.66,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143445,2,Ken,Abel,708,20.19,80.75,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143446,2,Ken,Abel,854,44.99,224.97,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143447,2,Ken,Abel,770,469.79,469.79,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143448,2,Ken,Abel,763,469.79,939.59,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143449,2,Ken,Abel,738,183.94,551.81,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143450,2,Ken,Abel,790,1466.01,1466.01,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143451,2,Ken,Abel,783,1229.46,1229.46,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143452,2,Ken,Abel,854,44.99,89.99,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143453,2,Ken,Abel,783,1229.46,1229.46,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143454,2,Ken,Abel,861,22.79,68.38,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143455,2,Ken,Abel,712,5.19,46.68,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143456,2,Ken,Abel,781,1242.85,1242.85,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143457,2,Ken,Abel,782,1229.46,3688.38,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143458,2,Ken,Abel,715,28.84,144.20,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143459,2,Ken,Abel,862,22.79,136.76,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143460,2,Ken,Abel,863,22.79,205.15,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143461,2,Ken,Abel,852,44.99,89.99,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143462,2,Ken,Abel,762,469.79,469.79,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143463,2,Ken,Abel,852,44.99,44.99,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143464,2,Ken,Abel,854,44.99,89.99,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143465,2,Ken,Abel,765,469.79,469.79,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143466,2,Ken,Abel,711,20.19,40.37,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143467,2,Ken,Abel,835,324.45,324.45,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143468,2,Ken,Abel,712,5.19,10.37,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143469,2,Ken,Abel,715,28.84,57.68,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143470,2,Ken,Abel,760,469.79,1879.18,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143471,2,Ken,Abel,770,469.79,469.79,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143472,2,Ken,Abel,826,67.54,67.54,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143473,2,Ken,Abel,767,469.79,939.59,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143474,2,Ken,Abel,727,202.33,202.33,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143475,2,Ken,Abel,826,67.54,67.54,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
143476,2,Ken,Abel,759,469.79,939.59,2012-09-30 00:00:00.000,2012-10-07 00:00:00.000
